반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000111,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,26333,26333.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000111,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,24833,24833.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0200,DUVETICA_TD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,61000,61000.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,34917,34917.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,22333,22333.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0900,DUVETICA_기획팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,41000,41000.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0200,DUVETICA_TD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,22333,22333.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0200,DUVETICA_TD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,36583,36583.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000113,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,8666,8666.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000113,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,10200,10200.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000113,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,17833,17833.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000113,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,30500,30500.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,25833,25833.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,30250,30250.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,39333,39333.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0200,DUVETICA_TD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,44667,44667.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,30250,30250.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,44667,44667.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0900,DUVETICA_기획팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,60500,60500.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0900,DUVETICA_기획팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,51500,51500.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,30250,30250.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,22333,22333.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,56500,56500.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0900,DUVETICA_기획팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,33833,33833.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,3900000,3900000.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,31417,31417.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0700,DUVETICA_소재팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000116,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,127778,127778.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000119,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,30500,30500.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000119,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,30500,30500.0,KRW,,,AFB/01/2025/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000120,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,15667,15667.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000120,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,51667,51667.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000120,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,17167,17167.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000120,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,33917,33917.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000120,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,51667,51667.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0700,DUVETICA_소재팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
,2025/10,,55250115,감가상각비_공기구비품,AF,4000000120,0,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,22333,22333.0,KRW,,,AFB/01/2025/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202510,부서
