brand,level,category_l1,category_l2,category_l3,current_amount,prev_amount,diff,yoy,insight
"MLB KIDS","L3","광고선전비","광고선전비","(E-BIZ)광고선전비_매체광고",10332790,4913735,5419055,110,"롯데온 광고비 증가로 비용 급증"
"MLB KIDS","L3","광고선전비","광고선전비","(E-BIZ)광고선전비_촬영/기타",31464910,26304519,5160391,20,"1015 MK룩북촬영 인건비 증가로 비용 상승"
"MLB KIDS","L3","기타영업비","감가상각비(매장외)","감가상각비_일반",13332262,6159419,7172843,116,"신규 장비 도입으로 감가상각비 증가"
"MLB KIDS","L3","광고선전비","광고선전비","광고선전비_PR/홍보",4400000,3000000,1400000,47,"인플루언서 서칭 솔루션 사용 증가"
"MLB KIDS","L3","광고선전비","광고선전비","광고선전비_매체집행_온라인",153626788,178761064,-25134276,-14,"CC대체 정산 증가로 광고비 감소"
"MLB KIDS","L3","광고선전비","광고선전비","광고선전비_협찬/제휴",3293366,4972650,-1679284,-34,"신규 캠페인(MLB X 뉴진스) 종료로 비용 감소"
"MLB KIDS","L3","광고선전비","광고선전비","광고선전비_기타",8920104,13374120,-4454016,-33,"타계정출고 감소로 비용 절감"
"MLB KIDS","L3","광고선전비","광고선전비","광고선전비_이벤트/행사",3870000,4000000,-130000,-3,"신학기 책가방 이벤트로 비용 분산"
"MLB KIDS","L3","광고선전비","광고선전비","광고선전비_콘텐츠제작",60576376,104673330,-44096954,-42,"25FW 걸스다운 콘텐츠 제작으로 비용 감소"
"MLB KIDS","L3","인건비","인건비","급료와 임금",244015984,248013546,-3997562,-2,"카테고리운영팀 신설로 급여 증가"
"MLB KIDS","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_쇼핑백사용(조정값)",-59639385,-13622570,-46016815,338,"MLB X 뉴진스 캠페인으로 비용 증가"
"MLB KIDS","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_쇼핑백사용(조정값)",93014470,24693900,68320570,277,"MLB KIDS X 뉴진스 캠페인 비용 증가"
"MLB KIDS","L3","기타영업비","기타비용","보험료",125613,113332,12281,11,"스타필드수원점 신규 계약으로 비용 증가"
